Datetime,Label
2025-05-18 04:00:00+00:00,2
2025-05-18 04:30:00+00:00,1
2025-05-18 05:00:00+00:00,1
2025-05-18 05:30:00+00:00,1
2025-05-18 06:00:00+00:00,1
2025-05-18 06:30:00+00:00,1
2025-05-18 07:00:00+00:00,1
2025-05-18 07:30:00+00:00,1
2025-05-18 08:00:00+00:00,1
2025-05-18 08:30:00+00:00,1
2025-05-18 09:00:00+00:00,1
2025-05-18 09:30:00+00:00,1
2025-05-18 10:00:00+00:00,1
2025-05-18 10:30:00+00:00,1
2025-05-18 11:00:00+00:00,1
2025-05-18 11:30:00+00:00,1
2025-05-18 12:00:00+00:00,1
2025-05-18 12:30:00+00:00,1
2025-05-18 13:00:00+00:00,1
2025-05-18 13:30:00+00:00,1
2025-05-18 14:00:00+00:00,1
2025-05-18 14:30:00+00:00,1
2025-05-18 15:00:00+00:00,1
2025-05-18 15:30:00+00:00,1
2025-05-18 16:00:00+00:00,0
2025-05-19 13:30:00+00:00,2
2025-05-19 14:00:00+00:00,1
2025-05-19 14:30:00+00:00,1
2025-05-19 15:00:00+00:00,1
2025-05-19 15:30:00+00:00,1
2025-05-19 16:00:00+00:00,1
2025-05-19 16:30:00+00:00,1
2025-05-19 17:00:00+00:00,1
2025-05-19 17:30:00+00:00,1
2025-05-19 18:00:00+00:00,1
2025-05-19 18:30:00+00:00,1
2025-05-19 19:00:00+00:00,1
2025-05-19 19:30:00+00:00,1
2025-05-19 20:00:00+00:00,1
2025-05-19 20:30:00+00:00,1
2025-05-19 21:00:00+00:00,1
2025-05-19 21:30:00+00:00,1
2025-05-19 22:00:00+00:00,1
2025-05-19 22:30:00+00:00,1
2025-05-19 23:00:00+00:00,1
2025-05-19 23:30:00+00:00,1
2025-05-20 00:00:00+00:00,1
2025-05-20 00:30:00+00:00,1
2025-05-20 01:00:00+00:00,1
2025-05-20 01:30:00+00:00,1
2025-05-20 02:00:00+00:00,1
2025-05-20 02:30:00+00:00,0
2025-05-20 16:30:00+00:00,2
2025-05-20 17:00:00+00:00,1
2025-05-20 17:30:00+00:00,1
2025-05-20 18:00:00+00:00,1
2025-05-20 18:30:00+00:00,1
2025-05-20 19:00:00+00:00,1
2025-05-20 19:30:00+00:00,1
2025-05-20 20:00:00+00:00,1
2025-05-20 20:30:00+00:00,1
2025-05-20 21:00:00+00:00,1
2025-05-20 21:30:00+00:00,1
2025-05-20 22:00:00+00:00,1
2025-05-20 22:30:00+00:00,1
2025-05-20 23:00:00+00:00,1
2025-05-20 23:30:00+00:00,1
2025-05-21 00:00:00+00:00,1
2025-05-21 00:30:00+00:00,1
2025-05-21 01:00:00+00:00,1
2025-05-21 01:30:00+00:00,1
2025-05-21 02:00:00+00:00,1
2025-05-21 02:30:00+00:00,1
2025-05-21 03:00:00+00:00,1
2025-05-21 03:30:00+00:00,1
2025-05-21 04:00:00+00:00,1
2025-05-21 04:30:00+00:00,1
2025-05-21 05:00:00+00:00,1
2025-05-21 05:30:00+00:00,1
2025-05-21 06:00:00+00:00,1
2025-05-21 06:30:00+00:00,0
2025-05-21 22:30:00+00:00,2
2025-05-21 23:00:00+00:00,1
2025-05-21 23:30:00+00:00,1
2025-05-22 00:00:00+00:00,1
2025-05-22 00:30:00+00:00,1
2025-05-22 01:00:00+00:00,1
2025-05-22 01:30:00+00:00,1
2025-05-22 02:00:00+00:00,1
2025-05-22 02:30:00+00:00,1
2025-05-22 03:00:00+00:00,1
2025-05-22 03:30:00+00:00,1
2025-05-22 04:00:00+00:00,1
2025-05-22 04:30:00+00:00,1
2025-05-22 05:00:00+00:00,1
2025-05-22 05:30:00+00:00,1
2025-05-22 06:00:00+00:00,1
2025-05-22 06:30:00+00:00,1
2025-05-22 07:00:00+00:00,1
2025-05-22 07:30:00+00:00,1
2025-05-22 08:00:00+00:00,1
2025-05-22 08:30:00+00:00,1
2025-05-22 09:00:00+00:00,1
2025-05-22 09:30:00+00:00,1
2025-05-22 10:00:00+00:00,1
2025-05-22 10:30:00+00:00,1
2025-05-22 11:00:00+00:00,1
2025-05-22 11:30:00+00:00,1
2025-05-22 12:00:00+00:00,1
2025-05-22 12:30:00+00:00,1
2025-05-22 13:00:00+00:00,1
2025-05-22 13:30:00+00:00,1
2025-05-22 14:00:00+00:00,1
2025-05-22 14:30:00+00:00,1
2025-05-22 15:00:00+00:00,1
2025-05-22 15:30:00+00:00,1
2025-05-22 16:00:00+00:00,1
2025-05-22 16:30:00+00:00,1
2025-05-22 17:00:00+00:00,1
2025-05-22 17:30:00+00:00,0
2025-05-22 23:00:00+00:00,2
2025-05-22 23:30:00+00:00,1
2025-05-23 00:00:00+00:00,1
2025-05-23 00:30:00+00:00,1
2025-05-23 01:00:00+00:00,1
2025-05-23 01:30:00+00:00,1
2025-05-23 02:00:00+00:00,1
2025-05-23 02:30:00+00:00,1
2025-05-23 03:00:00+00:00,1
2025-05-23 03:30:00+00:00,1
2025-05-23 04:00:00+00:00,0
2025-05-25 21:30:00+00:00,2
2025-05-25 22:00:00+00:00,1
2025-05-25 22:30:00+00:00,1
2025-05-25 23:00:00+00:00,1
2025-05-25 23:30:00+00:00,1
2025-05-26 00:00:00+00:00,1
2025-05-26 00:30:00+00:00,1
2025-05-26 01:00:00+00:00,1
2025-05-26 01:30:00+00:00,0
2025-05-26 05:30:00+00:00,2
2025-05-26 06:00:00+00:00,1
2025-05-26 06:30:00+00:00,1
2025-05-26 07:00:00+00:00,1
2025-05-26 07:30:00+00:00,1
2025-05-26 08:00:00+00:00,0
2025-05-27 03:30:00+00:00,2
2025-05-27 04:00:00+00:00,1
2025-05-27 04:30:00+00:00,1
2025-05-27 05:00:00+00:00,1
2025-05-27 05:30:00+00:00,1
2025-05-27 06:00:00+00:00,1
2025-05-27 06:30:00+00:00,1
2025-05-27 07:00:00+00:00,1
2025-05-27 07:30:00+00:00,1
2025-05-27 08:00:00+00:00,1
2025-05-27 08:30:00+00:00,1
2025-05-27 09:00:00+00:00,1
2025-05-27 09:30:00+00:00,0
2025-05-28 22:30:00+00:00,2
2025-05-28 23:00:00+00:00,1
2025-05-28 23:30:00+00:00,1
2025-05-29 00:00:00+00:00,1
2025-05-29 00:30:00+00:00,1
2025-05-29 01:00:00+00:00,1
2025-05-29 01:30:00+00:00,1
2025-05-29 02:00:00+00:00,1
2025-05-29 02:30:00+00:00,1
2025-05-29 03:00:00+00:00,1
2025-05-29 03:30:00+00:00,0
2025-05-31 07:30:00+00:00,2
2025-05-31 08:00:00+00:00,1
2025-05-31 08:30:00+00:00,1
2025-05-31 09:00:00+00:00,1
2025-05-31 09:30:00+00:00,1
2025-05-31 10:00:00+00:00,1
2025-05-31 10:30:00+00:00,1
2025-05-31 11:00:00+00:00,1
2025-05-31 11:30:00+00:00,1
2025-05-31 12:00:00+00:00,1
2025-05-31 12:30:00+00:00,1
2025-05-31 13:00:00+00:00,1
2025-05-31 13:30:00+00:00,1
2025-05-31 14:00:00+00:00,1
2025-05-31 14:30:00+00:00,1
2025-05-31 15:00:00+00:00,1
2025-05-31 15:30:00+00:00,1
2025-05-31 16:00:00+00:00,1
2025-05-31 16:30:00+00:00,1
2025-05-31 17:00:00+00:00,1
2025-05-31 17:30:00+00:00,1
2025-05-31 18:00:00+00:00,1
2025-05-31 18:30:00+00:00,1
2025-05-31 19:00:00+00:00,1
2025-05-31 19:30:00+00:00,1
2025-05-31 20:00:00+00:00,1
2025-05-31 20:30:00+00:00,1
2025-05-31 21:00:00+00:00,1
2025-05-31 21:30:00+00:00,1
2025-05-31 22:00:00+00:00,0
2025-06-01 13:30:00+00:00,2
2025-06-01 14:00:00+00:00,1
2025-06-01 14:30:00+00:00,1
2025-06-01 15:00:00+00:00,1
2025-06-01 15:30:00+00:00,1
2025-06-01 16:00:00+00:00,1
2025-06-01 16:30:00+00:00,1
2025-06-01 17:00:00+00:00,1
2025-06-01 17:30:00+00:00,1
2025-06-01 18:00:00+00:00,1
2025-06-01 18:30:00+00:00,1
2025-06-01 19:00:00+00:00,1
2025-06-01 19:30:00+00:00,1
2025-06-01 20:00:00+00:00,1
2025-06-01 20:30:00+00:00,1
2025-06-01 21:00:00+00:00,1
2025-06-01 21:30:00+00:00,1
2025-06-01 22:00:00+00:00,1
2025-06-01 22:30:00+00:00,1
2025-06-01 23:00:00+00:00,1
2025-06-01 23:30:00+00:00,0
2025-06-02 13:30:00+00:00,2
2025-06-02 14:00:00+00:00,1
2025-06-02 14:30:00+00:00,1
2025-06-02 15:00:00+00:00,1
2025-06-02 15:30:00+00:00,1
2025-06-02 16:00:00+00:00,1
2025-06-02 16:30:00+00:00,1
2025-06-02 17:00:00+00:00,1
2025-06-02 17:30:00+00:00,1
2025-06-02 18:00:00+00:00,1
2025-06-02 18:30:00+00:00,1
2025-06-02 19:00:00+00:00,1
2025-06-02 19:30:00+00:00,1
2025-06-02 20:00:00+00:00,1
2025-06-02 20:30:00+00:00,1
2025-06-02 21:00:00+00:00,1
2025-06-02 21:30:00+00:00,1
2025-06-02 22:00:00+00:00,1
2025-06-02 22:30:00+00:00,1
2025-06-02 23:00:00+00:00,1
2025-06-02 23:30:00+00:00,1
